================ Training Loss (Thu Feb 15 07:10:28 2024) ================
================ Training Loss (Thu Feb 15 07:15:28 2024) ================
================ Training Loss (Thu Feb 15 07:16:21 2024) ================
================ Training Loss (Thu Feb 15 07:17:00 2024) ================
================ Training Loss (Thu Feb 15 07:17:35 2024) ================
================ Training Loss (Thu Feb 15 07:18:59 2024) ================
(epoch: 2, iters: 12, time: 0.201, data: 0.078) D: 0.384 G_B: 0.297 Idt_B: 0.133 
(epoch: 3, iters: 24, time: 0.175, data: 0.006) D: 0.276 G_B: 0.286 Idt_B: 0.099 
(epoch: 4, iters: 36, time: 0.175, data: 0.002) D: 0.256 G_B: 0.256 Idt_B: 0.091 
(epoch: 5, iters: 48, time: 0.176, data: 0.001) D: 0.258 G_B: 0.263 Idt_B: 0.075 
(epoch: 6, iters: 60, time: 0.194, data: 0.001) D: 0.273 G_B: 0.280 Idt_B: 0.078 
(epoch: 7, iters: 72, time: 0.186, data: 0.010) D: 0.254 G_B: 0.251 Idt_B: 0.069 
(epoch: 8, iters: 84, time: 0.186, data: 0.002) D: 0.254 G_B: 0.248 Idt_B: 0.069 
(epoch: 10, iters: 8, time: 0.186, data: 0.001) D: 0.267 G_B: 0.259 Idt_B: 0.064 
(epoch: 11, iters: 20, time: 0.187, data: 0.001) D: 0.384 G_B: 0.379 Idt_B: 0.069 
(epoch: 12, iters: 32, time: 0.185, data: 0.001) D: 0.254 G_B: 0.255 Idt_B: 0.163 
(epoch: 13, iters: 44, time: 0.181, data: 0.001) D: 0.259 G_B: 0.283 Idt_B: 0.086 
(epoch: 14, iters: 56, time: 0.186, data: 0.002) D: 0.253 G_B: 0.254 Idt_B: 0.056 
(epoch: 15, iters: 68, time: 0.187, data: 0.001) D: 0.259 G_B: 0.226 Idt_B: 0.047 
(epoch: 16, iters: 80, time: 0.188, data: 0.001) D: 0.357 G_B: 0.341 Idt_B: 0.059 
(epoch: 18, iters: 4, time: 0.204, data: 0.001) D: 0.257 G_B: 0.299 Idt_B: 0.043 
(epoch: 19, iters: 16, time: 0.191, data: 0.007) D: 0.283 G_B: 0.286 Idt_B: 0.039 
(epoch: 20, iters: 28, time: 0.209, data: 0.002) D: 0.286 G_B: 0.285 Idt_B: 0.042 
(epoch: 21, iters: 40, time: 0.206, data: 0.002) D: 0.252 G_B: 0.234 Idt_B: 0.035 
(epoch: 22, iters: 52, time: 0.185, data: 0.008) D: 0.249 G_B: 0.251 Idt_B: 0.036 
(epoch: 23, iters: 64, time: 0.189, data: 0.001) D: 0.281 G_B: 0.270 Idt_B: 0.041 
(epoch: 24, iters: 76, time: 0.189, data: 0.001) D: 0.258 G_B: 0.232 Idt_B: 0.035 
(epoch: 25, iters: 88, time: 0.188, data: 0.001) D: 0.253 G_B: 0.269 Idt_B: 0.029 
